z_word_count,paper_forum,replyto
563,zH9GcZ3ZGXu,zH9GcZ3ZGXu
236,zGy_wqpRGTa,zGy_wqpRGTa
348,zGy_wqpRGTa,zGy_wqpRGTa
354,zGy_wqpRGTa,zGy_wqpRGTa
364,zGy_wqpRGTa,zGy_wqpRGTa
521,zEn1BhaNYsC,zEn1BhaNYsC
360,zEn1BhaNYsC,zEn1BhaNYsC
566,zEn1BhaNYsC,zEn1BhaNYsC
274,zEn1BhaNYsC,zEn1BhaNYsC
340,zEn1BhaNYsC,zEn1BhaNYsC
277,zDjtZZBZtqK,zDjtZZBZtqK
577,zDjtZZBZtqK,zDjtZZBZtqK
470,zDjtZZBZtqK,zDjtZZBZtqK
866,zDjtZZBZtqK,zDjtZZBZtqK
572,zDiHoIWa0q1,zDiHoIWa0q1
695,zDiHoIWa0q1,zDiHoIWa0q1
1522,zDiHoIWa0q1,zDiHoIWa0q1
386,zDiHoIWa0q1,zDiHoIWa0q1
543,zClyiZ5V6sL,zClyiZ5V6sL
478,zClyiZ5V6sL,zClyiZ5V6sL
196,zClyiZ5V6sL,zClyiZ5V6sL
411,zClyiZ5V6sL,zClyiZ5V6sL
657,zAxuIJLb38,zAxuIJLb38
742,zAxuIJLb38,zAxuIJLb38
961,zAxuIJLb38,zAxuIJLb38
521,zAxuIJLb38,zAxuIJLb38
764,zAbFj7FpD-C,zAbFj7FpD-C
1462,zAbFj7FpD-C,zAbFj7FpD-C
439,zAbFj7FpD-C,zAbFj7FpD-C
505,zAbFj7FpD-C,zAbFj7FpD-C
523,zA7hVj3rR19,zA7hVj3rR19
834,zA7hVj3rR19,zA7hVj3rR19
1172,zA7hVj3rR19,zA7hVj3rR19
424,zA7hVj3rR19,zA7hVj3rR19
764,z9SIj-IM7tn,z9SIj-IM7tn
689,z9SIj-IM7tn,z9SIj-IM7tn
347,z9SIj-IM7tn,z9SIj-IM7tn
303,z9SIj-IM7tn,z9SIj-IM7tn
